  Open,  High,   Low, Close,Volume
28.926,29.826,28.711,29.777,524785
29.648,29.787,29.165,29.777,395724
29.777,29.966,29.289,29.556,420101
29.423,29.459,28.229,28.399,273180
28.49,28.932,28.49,28.711,176578
28.907,29.92,28.871,29.826,440881
29.878,30.261,29.325,29.975,277557
29.871,30.456,29.871,30.438,313167
30.662,31.018,30.339,30.643,296876
30.766,30.774,30.227,30.555,477386
30.679,30.85,30.329,30.624,418637
30.537,30.85,30.144,30.598,352253
30.582,30.981,30.321,30.624,155346
30.537,31.159,30.278,31.159,230604
31.14,31.224,30.893,31.028,266548
31.028,31.266,30.933,31.169,658566
31.159,31.39,30.624,30.766,227571
30.85,31.028,30.091,30.572,171294
30.537,31.204,30.537,31.089,267782
31.374,31.464,31.178,31.266,322377
31.248,31.3,30.74,31.054,566796
31.497,32.051,31.428,31.941,251724
32.003,33.438,32.003,32.938,318107
32.938,33.109,32.815,32.983,64477
32.992,33.031,32.051,32.674,485473
32.674,33.227,32.674,33.057,256667
33.075,33.733,32.983,33.171,437399
33.386,34.267,33.386,33.875,262956
33.829,34.231,33.752,34.231,85258
34.276,34.276,33.678,33.93,126368
33.875,33.875,33.049,33.171,228473
33.117,34.623,33.109,33.357,449417
33.357,34.089,32.938,33.117,264076
32.931,32.931,32.299,32.352,511982
32.316,32.38,31.978,32.173,317994
32.094,32.173,31.622,31.873,435485
31.915,32.08,31.614,31.791,266548
31.7,31.738,31.293,31.692,244868
31.632,31.677,31.336,31.435,365285
31.214,31.258,29.718,29.816,682267
29.871,30.002,29.21,29.406,487608
29.582,29.733,29.21,29.6,321252
29.6,30.012,29.6,29.896,168716
29.896,30.081,29.843,29.92,259923
29.92,30.066,29.504,29.709,205442
29.806,29.886,29.539,29.609,186012
29.648,29.769,29.432,29.628,192976
29.531,29.761,29.316,29.406,131533
29.467,29.723,28.551,29.379,385725
29.396,30.074,29.379,30.058,330014
29.975,30.199,29.871,30.058,563092
30.091,30.527,29.912,30.179,411000
30.227,30.473,29.531,30.227,346078
30.189,30.404,29.92,30.208,215889
30.269,30.43,29.966,30.329,160736
30.179,30.245,30.002,30.135,175115
30.218,30.227,29.769,30.04,152428
29.816,30.049,29.6,29.797,256667
29.6,29.957,29.556,29.878,163548
29.957,30.422,29.6,30.311,166918
30.537,30.563,28.977,29.414,289575
29.379,29.648,28.702,29.068,281376
29.228,30.251,29.04,29.992,313167
29.992,30.43,29.582,29.937,327203
30.135,30.357,29.843,29.984,498502
29.992,29.992,28.756,28.907,295642
28.871,28.977,27.732,27.795,765389
27.742,27.83,26.852,27.055,1433054
27.029,27.412,26.912,27.233,1269395
27.233,27.26,26.885,26.976,310468
26.948,27.536,26.843,27.242,1331961
27.153,27.598,27.011,27.455,474241
27.518,28.471,27.518,28.008,935336
28.035,28.907,27.802,28.256,520183
28.22,28.346,27.632,27.749,245768
27.715,27.786,27.268,27.608,135016
27.582,27.582,27.098,27.438,155796
27.385,27.695,27.091,27.322,196909
27.322,27.553,27.126,27.242,248353
27.26,27.429,26.929,27.145,294294
27.162,27.582,27.011,27.108,414593
27.091,27.304,26.797,27.171,176241
27.171,28.088,26.894,28.078,233077
28.016,28.078,27.742,27.918,302157
27.918,28.088,27.582,27.918,279581
27.936,28.532,27.892,28.229,143777
28.312,29.787,28.312,29.414,874682
29.414,29.6,29.379,29.574,410775
29.648,29.826,29.539,29.826,245097
29.648,30.107,29.582,29.843,244646
28.996,30.002,28.996,29.984,209372
29.896,30.012,29.826,29.896,419200
29.806,29.826,29.504,29.777,668788
29.835,30.377,29.835,30.278,445821
30.715,31.587,30.517,31.409,406619
33.608,33.821,32.274,33.199,1487531
33.18,33.661,33.04,33.433,673620
33.784,33.784,32.584,32.761,882656
32.674,33.171,32.656,33.126,369777
33.784,34.097,33.49,33.752,827618
33.752,34.205,33.608,33.857,508388
33.829,34.009,33.208,33.339,652503
33.277,34.063,33.075,33.902,334730
33.758,33.784,33.323,33.633,231057
33.697,34.072,33.447,34.072,238692
34.072,34.072,33.59,33.875,248579
33.866,33.866,33.386,33.715,300587
33.767,33.954,33.599,33.829,300807
33.821,33.821,33.377,33.802,327877
33.829,34.223,33.608,34.026,576006
34.097,34.8,33.936,34.374,901640
34.319,34.711,34.097,34.408,351241
34.408,34.711,34.408,34.57,304851
34.57,34.57,34.035,34.276,298339
34.383,34.496,33.49,33.793,212857
33.875,33.954,33.538,33.946,255203
34.08,34.231,33.866,34.017,397183
34.106,34.319,33.875,34.035,319789
34.097,34.418,33.661,34.186,370336
34.223,34.615,34.123,34.436,496030
34.525,34.836,34.506,34.791,358320
34.74,34.74,34.213,34.328,356635
34.319,34.684,33.92,34.515,130860
34.721,34.721,34.231,34.496,136813
34.496,34.57,34.009,34.196,157817
34.142,34.196,33.331,33.625,281712
33.651,33.752,33.117,33.313,223307
33.303,34.159,32.938,33.377,332487
33.284,33.625,33.161,33.473,243301
33.433,34.383,33.433,34.044,280814
34.063,34.159,33.776,34.123,142992
34.115,34.456,34.08,34.283,276096
34.276,34.721,34.223,34.684,253853
34.674,35.476,34.496,35.21,428523
35.166,35.434,34.994,35.379,197918
35.379,35.593,35.281,35.505,226896
35.122,35.122,34.328,34.909,457616
34.985,35.04,33.902,34.142,207017
34.097,34.097,33.057,33.633,279916
33.413,33.893,33.134,33.599,227009
33.545,33.599,33.294,33.357,207242
33.253,33.464,32.914,33.218,260933
33.284,33.936,33.284,33.519,314849
33.433,33.981,33.117,33.902,203084
33.743,33.743,33.012,33.012,287104
33.117,33.331,32.146,32.229,367531
32.2,32.2,31.506,31.844,645200
32.051,32.229,31.7,31.854,262391
31.89,32.332,31.827,32.173,241165
31.96,31.978,31.677,31.719,224652
31.728,32.316,31.604,32.003,298900
31.925,32.38,31.747,31.96,411562
32.051,32.094,31.632,31.96,182643
31.915,32.087,31.381,31.381,275983
31.381,31.614,30.943,31.506,325969
32.494,33.608,32.146,32.477,686649
32.051,32.051,30.99,31.56,902765
31.56,31.908,31.336,31.409,298900
31.454,31.454,30.84,30.943,145127
30.859,31.327,30.671,30.732,303841
30.715,31.214,30.624,30.803,251388
30.933,31,30.679,30.803,395837
30.724,30.981,30.537,30.74,727083
30.774,30.885,29.957,30.189,421444
30.189,30.404,29.896,30.049,472442
30.002,30.218,29.912,30.125,639360
30.135,30.295,29.947,30.218,361467
30.091,30.901,30.058,30.508,252173
30.508,31.444,30.508,31.214,386290
31.214,31.514,31.188,31.248,299576
31.364,31.863,31.248,31.669,367756
31.819,32.289,31.532,32.003,564550
32.229,33.031,32.094,33.031,849071
32.983,33.075,32.734,32.938,184441
32.88,32.914,32.155,32.281,208478
32.307,32.416,32.229,32.36,174104
32.248,32.248,31.49,31.56,401005
31.56,32.051,31.54,31.873,285982
31.782,32.229,31.435,32.103,187134
32.137,32.289,31.81,32.032,246893
31.908,32.103,31.532,31.764,333159
31.827,31.873,30.933,31.435,335631
31.381,31.978,31.309,31.692,187809
31.782,32.051,31.08,31.604,160852
31.56,32.274,31.454,32.032,233301
32.146,32.256,31.224,31.473,446832
31.346,31.409,30.893,31.309,766623
31.4,31.883,31.356,31.514,295528
31.587,31.587,30.961,31.418,374830
31.336,31.49,30.933,31.169,191065
31.258,31.497,30.715,30.933,219036
31.064,31.214,30.83,31.103,148045
31.072,31.072,30.715,30.774,150626
30.715,30.812,30.278,30.724,283626
30.758,31.285,30.758,31.028,184212
30.893,32.061,30.732,31.899,271045
32.094,33.021,31.883,32.323,278232
32.299,32.299,31.908,32.119,175567
32.155,32.796,32.061,32.137,333048
32.274,32.584,31.577,31.622,139395
31.454,31.773,30.901,31.418,246106
32.061,33.564,32.051,32.734,934888
32.885,33.271,32.761,32.761,270144
32.914,33.386,32.769,32.796,235548
32.805,32.843,32.451,32.674,282275
32.699,33.348,32.674,33.218,338664
33.294,33.339,32.853,33.303,147596
33.271,33.271,32.964,33.171,148158
33.161,33.386,33.075,33.323,250376
33.377,33.464,32.494,32.584,216562
32.656,32.992,32.529,32.708,174667
32.656,32.914,32.274,32.744,306652
32.628,33.386,32.601,33.161,167702
33.235,33.651,33.075,33.49,146138
33.545,33.752,33.18,33.464,231057
33.642,33.981,33.49,33.49,180171
33.608,34.276,33.59,33.936,116368
33.981,34.408,33.946,34.132,88288
33.961,33.981,33.5,33.812,367194
33.697,34.177,33.661,33.911,434253
33.92,34.259,33.92,34.132,157591
33.829,34.75,33.776,34.496,299350
34.721,35.745,34.657,35.344,306423
35.335,35.476,34.767,35.424,281153
35.406,35.566,35.013,35.388,140070
35.61,36.029,35.441,35.717,575782
35.61,36.01,35.04,35.327,310690
35.272,35.317,34.73,35.004,253853
35.157,36.404,35.157,36.243,267338
36.422,36.992,36.34,36.626,365842
36.457,36.457,35.639,35.96,221173
35.923,36.215,35.655,36.01,122326
36.037,36.297,35.61,35.867,172197
35.745,36.234,35.655,35.867,238692
35.753,36.092,35.698,35.969,317208
35.923,36.1,35.53,35.629,247339
35.522,35.645,35.04,35.344,556349
35.362,35.513,34.8,35.191,340684
35.076,35.736,35.023,35.362,389207
35.272,35.877,35.228,35.61,472105
35.619,35.698,35.076,35.539,217349
35.539,35.664,35.254,35.601,208251
35.576,35.576,34.994,35.22,241051
34.721,34.88,34.142,34.721,443574
34.808,35.317,34.808,35.076,374380
35.076,35.468,35.004,35.076,304851
34.962,35.228,34.674,35.191,464356
34.631,34.791,34.374,34.75,325969
34.74,34.97,34.684,34.759,272837
34.721,35.362,34.684,35.166,280927
35.254,35.254,34.684,35.049,221953
34.899,35.21,34.596,34.928,457842
34.918,35.173,34.631,35.085,422457
34.985,35.2,34.605,34.928,432119
34.944,35.639,34.436,35.619,795266
35.645,35.832,35.344,35.522,530742
35.61,35.61,35.076,35.272,309232
35.272,35.353,34.337,34.408,755279
34.462,34.75,34.292,34.657,583757
34.543,34.721,34.276,34.57,638684
34.674,35.103,34.648,34.889,490975
35.254,35.923,35.22,35.807,472555
35.753,36.002,35.379,35.406,189494
35.281,35.992,35.173,35.639,240827
35.992,36.431,35.522,36.128,401565
36.055,36.865,35.832,36.582,366069
36.582,37.043,36.404,36.509,220721
36.609,37.169,36.349,37.104,212857
37.114,37.72,37.081,37.346,249924
37.461,37.71,37.375,37.48,194997
37.48,37.497,36.937,37.419,130636
37.461,37.801,37.062,37.249,162426
37.249,37.598,37.062,37.461,161862
37.82,38.042,37.435,37.837,271602
37.837,38.576,37.837,38.228,173994
38.246,38.246,36.93,37.053,269807
37.035,37.394,36.874,37.132,279467
37.355,38.14,37.346,38.014,451211
37.953,39.518,37.953,39.192,788865
39.083,39.456,38.586,39.155,358768
39.304,40.918,39.268,40.648,592854
40.639,41.087,40.374,40.969,371238
40.864,41.674,40.338,41.397,564997
41.362,42.324,41.362,42.003,616108
41.843,42.003,41.505,41.646,347987
40.73,41.193,40.062,40.526,858396
40.596,40.969,40.143,40.401,281376
40.329,40.382,40.043,40.294,358432
40.435,40.704,40.204,40.588,179384
40.365,40.479,39.831,39.882,535010
39.892,40.213,39.563,39.697,249699
39.769,40.115,39.456,40.115,658679
40.204,40.951,40.204,40.864,562304
40.79,40.951,40.043,40.143,377640
40.195,40.454,39.803,40.284,354949
40.17,40.79,40.17,40.535,222180
40.561,40.855,40.348,40.419,213532
40.401,40.526,40,40.195,305303
40.134,40.275,39.599,39.901,327877
39.929,40.419,39.721,40.017,469634
39.882,40.329,39.456,40.134,232515
39.333,39.975,39.192,39.42,234648
39.314,39.956,38.763,39.438,227124
39.395,39.892,39.268,39.705,230043
39.395,39.858,39.126,39.741,259808
39.731,40.213,39.351,39.616,240714
39.85,39.965,39.216,39.599,245205
39.803,40.017,39.493,39.688,287556
39.528,39.636,39.224,39.395,209936
39.295,39.395,38.388,38.622,461549
38.547,38.547,37.641,38.426,329900
38.28,38.842,38.183,38.827,242621
38.772,40.062,38.646,39.813,434476
40.079,40.311,39.882,40.152,801332
40.162,40.658,39.778,40.134,194885
40.178,40.479,39.073,40.24,238469
40.294,41.041,40.062,40.9,448182
40.91,41.202,40.32,40.828,331360
40.739,41.532,40.498,41.174,276096
41.317,42.269,41.317,42.074,397297
42.108,42.447,41.843,42.065,559157
42.065,42.065,41.121,41.451,204319
41.646,41.778,41.46,41.727,253630
41.71,42.039,41.397,41.984,190059
42.048,42.288,41.788,42.199,179611
42.19,42.199,41.523,41.573,266436
41.397,41.736,41.317,41.684,232715
41.906,43.792,41.701,42.732,435971
42.786,43.265,42.43,42.973,266548
43.001,43.544,42.921,43.544,252958
43.536,43.817,43.321,43.808,347197
43.782,44.184,43.206,43.935,253522
45.715,48.208,45.412,47.494,1130674
47.511,47.727,46.774,47.112,525686
47.185,47.353,46.677,47.07,426727
47.176,47.265,46.48,46.507,359909
45.403,46.917,43.63,45.538,630483
45.715,46.747,45.43,46.26,514679
45.378,46.642,44.78,46.107,346130
45.937,46.953,45.635,46.116,434476
45.653,46.818,45.03,46.383,593754
46.883,48.144,46.677,47.975,2078028
47.958,48.077,47.3,47.577,235322
47.907,50.363,47.881,49.479,682157
50.346,50.346,48.315,48.964,991949
48.52,52.812,48.077,51.931,1636252
50.748,51.272,48.839,49.339,1141229
49.233,49.801,48.564,49.579,705294
49.365,49.881,48.742,49.125,554327
49.116,49.125,47.55,48.244,771456
48.467,48.982,48.189,48.385,610264
48.253,48.77,47.737,48.573,440881
48.573,49.186,48.163,49.017,331584
49.186,49.186,48.306,48.554,372473
48.432,49.054,48.273,48.904,264525
48.787,49.479,48.458,49.374,518383
49.233,49.233,48.404,48.76,289352
48.866,48.866,47.871,48.536,267338
48.832,48.93,47.372,47.958,253294
47.907,48.528,47.842,48.368,342033
48.458,50.495,48.458,50.363,837951
50.461,50.461,49.632,49.855,427402
49.676,49.855,48.982,49.686,413920
49.766,50.654,49.632,49.694,206005
49.916,50.363,49.054,49.205,196794
49.195,50.041,49.098,49.392,179049
49.498,49.498,48.554,48.982,142540
49.054,50.504,48.662,50.38,530289
50.309,51.119,49.906,50.728,460312
51.19,51.431,50.765,51.138,279692
51.084,51.412,50.671,51.02,133890
51.04,51.636,50.55,50.798,322802
50.301,50.7,49.676,50.389,562191
50.748,50.814,50.21,50.478,304400
50.301,51.608,50.301,51.448,338664
51.83,52.773,51.306,52.215,446946
52.393,52.403,51.572,52.035,307773
51.991,52.393,51.636,52.215,261046
51.964,52.159,51.147,51.608,283735
51.591,51.743,50.55,50.765,299350
50.926,51.198,49.82,51.171,444808
51.279,53.13,51.279,52.606,327318
52.661,53.281,52.444,52.712,333048
52.793,53.104,52.543,52.865,190954
52.925,53.362,52.722,52.829,110752
52.651,53.086,52.035,52.989,164445
52.704,53.549,52.321,53.148,224318
52.793,52.97,51.743,52.241,259699
52.421,52.722,52.126,52.524,299013
52.393,52.755,51.796,52.295,279130
52.26,52.915,51.439,51.562,260370
51.572,51.572,50.389,50.748,544779
50.522,50.789,49.731,50.246,498839
50.272,50.638,49.999,50.389,337313
50.389,50.798,50.193,50.664,378878
50.842,52.747,50.842,52.328,332487
52.508,53.14,51.939,52.017,386964
52.072,52.722,50.897,51.217,348097
51.698,52.017,51.306,51.689,470477
51.912,52.473,51.672,52.215,292723
51.991,53.273,51.636,53.273,553991
53.417,53.532,52.773,53.372,474356
53.417,53.835,52.952,53.121,1545830
53.035,53.381,52.722,53.319,384268
53.336,53.372,52.552,52.925,368207
52.747,52.97,52.312,52.907,241725
52.812,53.094,51.922,52.364,491200
52.588,54.297,51.084,53.568,1314998
53.523,55.472,52.952,54.876,767299
54.796,56.228,54.796,55.151,865472
55.177,56.06,55.044,55.953,631272
56.106,56.872,55.934,56.159,276545
57.245,57.84,56.62,56.889,371575
57.225,57.279,56.336,56.532,302157
56.311,56.772,55.553,56.515,240601
56.63,57.129,56.13,56.397,270707
56.168,56.515,55.296,56.042,229594
55.98,56.176,55.008,55.054,395163
54.83,55.472,53.941,54.04,401451
54.306,54.538,53.647,53.754,323273
53.309,53.958,51.867,53.958,382472
53.958,54.94,53.916,54.191,251609
54.466,54.735,54.084,54.191,463119
54.546,54.894,53.655,53.665,315412
53.62,54.396,53.352,54.359,146810
54.751,56.638,54.476,56.443,507487
56.319,57.466,56.088,56.924,392333
57.138,57.138,56.507,56.55,204434
56.159,56.377,54.876,55.035,259473
55.035,55.374,54.635,55.374,222630
55.757,56.078,55.134,55.757,152875
55.848,55.892,55.073,55.57,159725
55.303,55.589,55.134,55.187,207916
55.204,55.563,55.151,55.151,136475
54.933,54.933,53.381,54.546,229817
54.573,55.767,54.573,55.357,177362
55.232,55.251,54.165,54.386,435150
54.326,54.725,53.86,54.306,202636
53.729,53.729,50.219,50.603,725289
50.87,52.143,50.513,51.394,539166
50.532,50.782,48.706,49.186,1198406
49.141,49.16,47.389,47.502,741461
47.502,47.719,46.347,47.569,332374
48.111,48.787,47.628,47.673,391345
47.531,48.662,47.531,48.18,498727
48.564,49.436,48.368,48.52,477611
48.413,48.646,45.795,46.338,467724
46.09,46.09,43.845,45.37,910849
45.144,45.813,44.54,45.296,451211
45.742,48.385,45.572,47.362,814024
46.472,46.818,43.845,44.682,821661
44.068,46.971,43.098,44.933,642168
46.071,47.185,45.076,45.485,559611
45.581,47.897,45.581,46.685,597462
46.766,48.18,45.786,45.965,669687
45.965,46.525,43.667,45.493,662048
45.493,48.34,45.475,47.05,655644
